TimeActivate,Co,VOC,Temp,Hum
15156,89,288,26.22,64.04
16156,89,269,26.23,64.06
17156,40,276,26.22,64.04
18156,75,274,26.22,64.06
19156,68,262,26.25,64.02
20156,64,259,26.23,64.11
21156,65,259,26.24,64.04
22156,55,252,26.24,64.07
23156,51,257,26.23,64.07
24156,51,249,26.24,64.1
25156,48,255,26.24,64.11
26156,42,249,26.24,64.12
27156,54,246,26.23,64.09
28156,40,244,26.24,64.1
29156,37,244,26.24,64.14
30156,38,238,26.25,64.11
31156,38,238,26.24,64.12
32156,33,246,26.24,64.15
33156,35,234,26.25,64.1
34156,47,233,26.24,64.15
35156,34,232,26.24,64.15
36156,32,231,26.26,64.13
37156,29,232,26.24,64.16
38156,33,228,26.24,64.15
39156,32,230,26.25,64.17
40156,32,228,26.24,64.13
41156,33,233,26.25,64.16
42156,31,235,26.27,64.14
66156,28,234,26.26,64.22
67156,27,225,26.26,64.24
68156,31,225,26.26,64.25
69156,28,228,26.26,64.23
70156,29,227,26.28,64.2
71156,27,229,26.27,64.25
72156,31,227,26.29,64.25
73156,27,227,26.26,64.27
74156,31,225,26.28,64.26
75156,27,230,26.27,64.29
76156,27,229,26.27,64.27
77156,30,238,26.27,64.29
78156,33,235,26.26,64.24
79156,27,230,26.27,64.26
80156,25,232,26.29,64.27
81156,32,231,26.28,64.26
82156,26,228,26.27,64.29
83156,44,227,26.28,64.29
84156,22,227,26.27,64.36
85156,28,225,26.28,64.33
86156,33,228,26.29,64.3
87156,25,231,26.28,64.37
88156,27,226,26.28,64.33
89156,23,217,26.27,64.34
90156,25,224,26.28,64.34
91156,27,228,26.29,64.34
92156,25,227,26.28,64.34
93156,23,253,26.29,64.33
94156,47,236,26.29,64.36
95156,22,253,26.28,64.36
96156,27,238,26.27,64.36
97156,27,242,26.28,64.34
98156,26,240,26.29,64.37
99156,24,240,26.3,64.34
100156,27,241,26.27,64.33
101156,25,247,26.29,64.35
102156,24,239,26.28,64.38
103156,42,246,26.29,64.39
104156,26,237,26.3,64.36
105156,26,244,26.29,64.36
106156,13,244,26.29,64.36
107156,27,246,26.28,64.37
108156,23,238,26.3,64.41
109156,13,256,26.28,64.41
110156,25,253,26.3,64.42
111156,31,258,26.29,64.37
112156,39,255,26.31,64.37
113156,0,265,26.3,64.42
114156,30,241,26.29,64.44
115156,27,277,26.28,64.45
116156,18,270,26.29,64.44
117156,24,277,26.28,64.44
118156,25,270,26.29,64.48
119156,27,257,26.3,64.38
120156,25,264,26.29,64.42
121156,25,249,26.3,64.42
122156,26,262,26.3,64.42
123156,40,267,26.32,64.43
124156,25,267,26.29,64.43
125156,29,269,26.31,64.45
126156,26,274,26.3,64.45
127156,27,267,26.3,64.44
128156,25,272,26.31,64.46
129156,26,270,26.31,64.44
130156,27,267,26.31,64.46
131156,37,272,26.31,64.41
132156,27,291,26.31,64.45
133156,29,263,26.32,64.47
134156,25,273,26.31,64.5
135156,26,269,26.31,64.5
136156,28,268,26.31,64.49
137156,14,271,26.31,64.51
138156,25,276,26.3,64.52
139156,26,268,26.32,64.52
140156,25,267,26.29,64.5
141156,21,270,26.3,64.52
142156,24,272,26.3,64.52
143156,26,274,26.32,64.5
144156,46,267,26.31,64.48
145156,25,267,26.3,64.49
146156,23,276,26.32,64.52
147156,26,273,26.32,64.56
148156,31,274,26.32,64.52
149156,22,271,26.33,64.51
150156,28,268,26.33,64.53
151156,13,270,26.33,64.54
152156,26,267,26.32,64.53
153156,23,268,26.32,64.49
154156,26,270,26.32,64.51
155156,23,278,26.32,64.55
156156,25,275,26.33,64.56
157156,24,278,26.33,64.5
158156,46,277,26.32,64.54
159156,33,271,26.33,64.54
160156,23,279,26.32,64.53
161156,26,283,26.33,64.57
162156,27,281,26.33,64.59
163156,26,283,26.32,64.6
164156,24,287,26.33,64.58
165156,25,266,26.34,64.63
166156,26,274,26.34,64.58
167156,26,280,26.33,64.56
168156,30,281,26.33,64.55
169156,25,294,26.33,64.57
170156,26,286,26.33,64.57
171156,25,297,26.32,64.59
172156,25,294,26.32,64.57
173156,30,277,26.33,64.64
174156,29,307,26.33,64.63
175156,26,299,26.33,64.61
176156,25,297,26.34,64.65
177156,25,294,26.34,64.63
178156,26,293,26.35,64.64
179156,58,300,26.33,64.59
180156,25,295,26.32,64.63
181156,22,301,26.32,64.63
182156,37,297,26.34,64.65
183156,26,298,26.34,64.68
184156,21,300,26.33,64.66
185156,25,299,26.34,64.67
186156,25,302,26.35,64.68
187156,49,305,26.34,64.62
188156,21,303,26.36,64.67
189156,24,300,26.34,64.69
190156,25,300,26.36,64.62
191156,22,310,26.35,64.64
192156,25,297,26.35,64.64
193156,13,298,26.35,64.65
194156,25,299,26.36,64.71
195156,26,305,26.35,64.68
196156,26,304,26.36,64.72
197156,24,306,26.35,64.71
198156,27,320,26.35,64.68
199156,25,301,26.36,64.72
200156,24,312,26.36,64.7
201156,29,306,26.36,64.74
202156,32,307,26.36,64.69
203156,18,308,26.35,64.72
204156,26,305,26.36,64.69
205156,25,304,26.36,64.73
206156,26,314,26.35,64.67
207156,24,314,26.36,64.71
208156,29,300,26.36,64.68
209156,22,307,26.37,64.7
210156,25,311,26.36,64.7
211156,0,313,26.36,64.73
212156,25,309,26.36,64.71
213156,25,314,26.36,64.72
214156,22,313,26.38,64.7
215156,24,313,26.35,64.73
216156,27,321,26.37,64.73
217156,23,313,26.38,64.7
218156,24,308,26.38,64.72
219156,26,311,26.36,64.72
220156,26,308,26.37,64.69
221156,24,317,26.37,64.74
222156,17,313,26.37,64.67
223156,26,308,26.38,64.71
224156,6,310,26.37,64.72
225156,26,329,26.38,64.73
226156,25,323,26.38,64.74
227156,18,331,26.39,64.78
228156,25,326,26.39,64.79
229156,49,327,26.39,64.79
230156,26,325,26.39,64.79
231156,27,327,26.39,64.79
232156,0,325,26.39,64.82
233156,26,319,26.39,64.81
234156,24,319,26.38,64.81
235156,26,330,26.39,64.83
236156,24,328,26.38,64.86
237156,24,338,26.4,64.82
238156,28,328,26.39,64.84
239156,26,324,26.4,64.83
240156,27,331,26.39,64.83
241156,26,319,26.4,64.85
242156,25,320,26.4,64.88
243156,25,326,26.4,64.8
244156,24,326,26.38,64.81
245156,26,322,26.38,64.83
246156,25,322,26.39,64.83
247156,31,325,26.39,64.85
248156,26,327,26.39,64.82
249156,23,333,26.38,64.84
250156,24,330,26.39,64.81
251156,25,330,26.4,64.83
252156,26,329,26.39,64.8
253156,49,326,26.38,64.8
254156,26,323,26.39,64.81
255156,24,324,26.4,64.82
256156,22,322,26.4,64.83
257156,25,321,26.41,64.86
258156,25,303,26.4,64.82
259156,29,320,26.41,64.8
260156,23,315,26.4,64.79
261156,65,318,26.4,64.79
262156,31,322,26.41,64.8
263156,26,319,26.41,64.79
264156,19,322,26.41,64.81
265156,25,320,26.42,64.79
266156,24,319,26.41,64.83
267156,26,319,26.42,64.81
268156,24,323,26.42,64.84
269156,25,323,26.42,64.8
270156,25,321,26.42,64.84
271156,24,317,26.42,64.85
272156,25,318,26.41,64.82
273156,25,321,26.43,64.83
274156,26,323,26.44,64.84
275156,46,323,26.44,64.8
276156,28,311,26.45,64.86
277156,26,301,26.44,64.83
278156,25,341,26.44,64.84
279156,24,324,26.46,64.84
280156,25,322,26.44,64.83
281156,26,330,26.44,64.82
282156,25,328,26.43,64.86
283156,24,328,26.44,64.81
284156,26,325,26.45,64.86
285156,26,324,26.46,64.85
286156,25,321,26.44,64.85
287156,25,323,26.44,64.83
288156,24,324,26.45,64.84
289156,28,327,26.45,64.85
290156,27,317,26.45,64.8
291156,23,324,26.45,64.86
292156,24,323,26.45,64.84
293156,25,323,26.45,64.87
294156,24,323,26.45,64.85
295156,43,319,26.46,64.85
296156,27,315,26.45,64.82
297156,27,304,26.45,64.85
298156,21,321,26.45,64.85
299156,38,306,26.45,64.83
300156,25,317,26.46,64.86
301156,21,314,26.46,64.8
302156,25,317,26.45,64.84
303156,26,316,26.46,64.82
304156,43,317,26.48,64.89
305156,26,312,26.45,64.87
306156,26,316,26.45,64.81
307156,31,315,26.46,64.85
308156,37,317,26.47,64.86
309156,32,318,26.45,64.9
310156,25,318,26.47,64.84
311156,29,332,26.45,64.9
312156,25,320,26.47,64.86
313156,24,319,26.47,64.88
314156,27,329,26.47,64.93
315156,29,317,26.47,64.96
316156,25,318,26.48,64.9
